,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Gaston County, North Carolina",,"79,209","6,993","5,629","5,530","5,683","4,780","4,930","4,397","3,903","3,886","6,366","7,554","8,608","4,690","2,776","1,878","1,606"
"Gates County, North Carolina",,"4,508",314,187,325,252,258,200,253,304,165,562,462,636,365,90,119,16
"Graham County, North Carolina",,"3,392",423,163,263,278,231,287,135,233,103,316,338,267,166,62,77,50
"Granville County, North Carolina",,"19,983","1,401","1,310",906,"1,044","1,356","1,246",861,965,984,"1,739","2,028","2,741","1,660",805,649,288
"Greene County, North Carolina",,"7,143",676,544,496,573,512,389,405,467,345,552,571,974,301,152,72,114
"Guilford County, North Carolina",,"198,560","16,435","11,600","12,520","12,251","12,265","12,187","10,391","11,550","8,064","15,411","19,618","20,965","12,994","7,771","7,728","6,810"
"Halifax County, North Carolina",,"21,554","3,289","2,049","1,692","1,688","1,317","1,372","1,334",886,791,"1,720","1,901","1,527","1,161",345,228,254
"Harnett County, North Carolina",,"41,601","3,151","2,897","2,304","2,667","2,818","2,793","2,302","2,061","1,757","3,703","3,841","5,390","2,860","1,437",998,622
"Haywood County, North Carolina",,"26,261","1,897","1,646","2,211","1,646","2,012","1,860","1,373","1,315",935,"2,627","2,582","2,764","1,724",625,539,505
"Henderson County, North Carolina",,"45,534","3,305","2,897","2,698","2,784","2,905","2,694","2,337","2,638","2,325","4,257","4,730","5,392","3,060","1,453","1,177",882
"Hertford County, North Carolina",,"8,700","1,283",948,735,578,578,453,512,460,361,736,639,633,298,196,197,93
"Hoke County, North Carolina",,"16,534","1,451","1,276",962,"1,001",991,"1,019","1,056",661,627,"1,343","1,753","2,426","1,036",477,293,162
"Hyde County, North Carolina",,"2,112",158,131,83,69,116,198,155,166,121,70,565,161,27,46,0,46
"Iredell County, North Carolina",,"60,277","4,094","3,059","3,070","3,237","3,491","3,421","2,870","2,955","2,840","5,542","6,158","7,463","4,808","2,355","2,399","2,515"
"Jackson County, North Carolina",,"15,872","2,038","1,138","1,243","1,086","1,138","1,044",971,522,737,"1,383","1,454","1,673",618,310,315,202
"Johnston County, North Carolina",,"61,333","4,130","3,569","3,340","3,639","3,154","2,841","3,689","3,290","3,142","4,497","6,435","8,449","5,480","2,522","2,336",820
"Jones County, North Carolina",,"4,113",477,256,390,255,257,330,186,203,243,243,503,373,214,49,71,63
"Lee County, North Carolina",,"21,239","1,526","1,657","1,107","1,495","1,042","1,280","1,456",756,906,"1,906","2,401","2,798","1,249",748,668,244
"Lenoir County, North Carolina",,"23,571","3,021","1,919","1,747","1,807","1,563","1,522","1,400","1,065","1,200","1,789","2,265","2,143","1,004",407,490,229
"Lincoln County, North Carolina",,"30,114","1,883","1,848","1,891","1,571","1,664","1,841","1,404","1,893","1,396","2,304","3,117","3,515","2,419","1,227","1,066","1,075"
"McDowell County, North Carolina",,"17,142","1,946","1,351","1,367","1,355","1,251","1,094",940,965,967,"1,410","1,504","1,709",567,267,292,157
"Macon County, North Carolina",,"15,504","1,583","1,416",911,"1,082","1,220",950,916,706,755,"1,352","1,496","1,483",719,351,214,350
"Madison County, North Carolina",,"8,353",781,798,660,516,538,537,485,491,236,837,783,900,278,190,240,83
"Martin County, North Carolina",,"9,465",949,936,773,516,711,723,494,389,406,751,"1,043","1,007",488,120,87,72
"Mecklenburg County, North Carolina",,"371,921","24,456","16,672","17,252","18,021","19,542","17,821","18,838","17,918","15,461","29,473","38,003","44,762","28,622","18,846","20,681","25,553"
"Mitchell County, North Carolina",,"6,396",799,495,434,550,294,431,363,369,259,564,663,635,217,110,101,112
"Montgomery County, North Carolina",,"10,625","1,107","1,293",887,862,715,720,393,454,581,879,766,747,521,315,204,181
"Moore County, North Carolina",,"36,947","2,783","2,188","2,252","2,152","2,072","2,114","1,766","1,550","1,442","3,020","3,535","4,739","2,889","1,303","1,369","1,773"
"Nash County, North Carolina",,"37,159","2,977","2,688","2,913","2,419","2,232","2,099","1,988","1,890","1,832","3,213","3,755","4,161","2,081","1,118",962,831
"New Hanover County, North Carolina",,"87,176","7,513","4,706","4,793","5,057","4,490","4,952","4,078","4,313","3,975","7,049","8,405","9,788","7,721","3,345","3,398","3,593"
"Northampton County, North Carolina",,"8,564","1,219",793,734,636,681,633,465,408,369,460,791,681,346,178,141,29
"Onslow County, North Carolina",,"61,147","4,331","2,497","3,879","3,007","3,634","4,368","3,973","4,207","3,451","6,624","7,397","6,560","3,543","1,346","1,575",755
"Orange County, North Carolina",,"51,419","4,460","2,391","2,186","2,588","2,335","1,992","2,486","2,239","2,191","3,541","4,082","5,346","3,840","2,613","3,419","5,710"
"Pamlico County, North Carolina",,"5,145",305,354,348,354,237,371,296,326,192,454,515,568,383,193,144,105
"Pasquotank County, North Carolina",,"14,608","1,702",802,"1,061",634,845,801,563,772,809,"1,051","1,593","1,854",960,509,321,331
"Pender County, North Carolina",,"20,154","1,841","1,173","1,144","1,347","1,374","1,205","1,163",885,917,"1,777","1,815","2,302","1,199",821,668,523
"Perquimans County, North Carolina",,"5,473",431,439,351,257,440,250,275,245,397,441,655,586,282,182,128,114
"Person County, North Carolina",,"15,326","1,346",907,"1,322","1,056",764,"1,023",661,893,"1,007","1,421","1,449","1,638",902,324,433,180
"Pitt County, North Carolina",,"66,427","8,071","4,501","4,339","4,298","3,873","3,949","2,966","3,385","2,770","5,536","6,031","6,602","4,333","2,181","1,840","1,752"
"Polk County, North Carolina",,"8,764",615,506,465,503,611,624,427,429,561,813,988,853,626,317,280,146
"Randolph County, North Carolina",,"54,254","3,680","4,314","3,683","3,492","3,761","3,779","3,366","2,853","2,508","4,715","5,584","6,123","3,571","1,264","1,005",556
"Richmond County, North Carolina",,"18,260","2,413","1,798","1,504","1,220","1,179","1,327","1,110",842,916,"1,366","1,654","1,353",767,382,211,218
"Robeson County, North Carolina",,"45,446","7,322","4,223","4,265","3,283","3,308","3,052","2,386","2,121","2,082","2,810","3,413","3,849","1,447",778,601,506
"Rockingham County, North Carolina",,"37,691","3,504","3,042","2,888","2,706","2,374","2,286","2,480","1,993","1,815","2,829","3,417","4,193","2,052",901,781,430
"Rowan County, North Carolina",,"52,002","4,861","3,719","3,287","3,619","3,049","3,190","2,906","3,328","2,731","4,186","4,962","5,682","3,332","1,428",972,750
"Rutherford County, North Carolina",,"26,778","2,283","2,714","2,381","1,777","1,702","1,953","1,466","1,916","1,373","1,937","2,752","2,247","1,086",539,323,329
"Sampson County, North Carolina",,"23,413","2,435","1,971","2,109","1,575","1,800","1,641","1,319","1,508",847,"1,782","1,968","1,976",949,641,574,318
"Scotland County, North Carolina",,"12,931","2,057","1,264","1,205",953,832,734,804,715,528,915,974,854,597,351,85,63
"Stanly County, North Carolina",,"23,484","1,842","1,921","1,584","1,903","1,354","1,526","1,103","1,005","1,172","2,059","2,505","2,793","1,255",802,440,220
"Stokes County, North Carolina",,"18,855","1,705","1,644","1,272","1,216",977,"1,311",916,"1,017",999,"1,562","1,778","2,298","1,111",446,416,187
"Surry County, North Carolina",,"29,380","3,214","2,255","2,266","2,342","2,053","2,204","1,830","1,296","1,138","2,205","2,650","2,757","1,568",856,364,382
"Swain County, North Carolina",,"5,357",713,452,282,416,479,368,178,257,229,445,511,560,225,55,131,56
"Transylvania County, North Carolina",,"13,735","1,083",703,829,772,778,765,"1,384",643,923,"1,045","1,532","1,766",675,416,158,263
"Tyrrell County, North Carolina",,"1,455",157,150,61,141,136,101,94,96,56,127,111,144,16,49,7,9
"Union County, North Carolina",,"69,464","2,594","2,248","2,884","3,001","3,091","3,093","2,619","3,580","2,728","5,812","7,932","10,123","6,799","4,147","4,404","4,409"
"Vance County, North Carolina",,"16,651","1,807","1,758","1,650","1,145","1,153",973,830,706,809,"1,087","1,609","1,666",738,285,198,237
"Wake County, North Carolina",,"355,647","15,996","13,019","13,451","12,857","15,100","16,966","15,484","14,938","15,117","28,627","34,878","47,069","35,753","23,741","27,191","25,460"
"Warren County, North Carolina",,"7,866",936,842,750,440,505,464,435,299,365,764,724,530,390,195,149,78
"Washington County, North Carolina",,"5,126",855,278,449,404,472,240,419,215,210,387,372,380,273,96,29,47
"Watauga County, North Carolina",,"20,224","3,744","1,822","1,150","1,141","1,158","1,018",838,960,742,"1,337","1,522","2,187","1,023",538,503,541
"Wayne County, North Carolina",,"47,480","4,511","3,358","3,185","3,258","3,474","2,741","2,590","2,303","2,045","4,148","5,311","5,130","2,405","1,209","1,047",765
"Wilkes County, North Carolina",,"27,355","3,245","2,895","2,522","2,241","1,833","1,991","1,409","1,460","1,419","1,795","2,077","2,389",864,443,353,419
"Wilson County, North Carolina",,"32,026","3,100","2,618","2,355","2,005","1,800","2,116","2,321","2,069","1,282","2,614","2,868","3,254","1,625",842,684,473
"Yadkin County, North Carolina",,"15,174","1,408",909,"1,156","1,279","1,285",951,799,833,631,"1,305","1,556","1,364",804,311,273,310
"Yancey County, North Carolina",,"7,230",701,534,714,482,430,474,359,482,282,522,718,917,306,94,117,98
"Adams County, North Dakota",,"1,098",23,57,68,61,99,33,64,119,36,80,127,137,74,41,15,64
"Barnes County, North Dakota",,"4,918",241,234,276,276,201,309,181,290,280,354,634,693,393,150,224,182
"Benson County, North Dakota",,"2,331",295,177,151,134,165,144,130,148,90,210,202,211,127,47,31,69
"Billings County, North Dakota",,361,20,21,20,13,6,6,14,13,29,29,25,45,39,26,20,35
"Bottineau County, North Dakota",,"3,000",250,149,180,196,164,114,106,156,106,220,254,515,216,198,69,107
"Bowman County, North Dakota",,"1,330",95,60,44,51,59,48,64,77,54,63,145,275,119,79,41,56
"Burke County, North Dakota",,988,57,80,64,56,47,28,52,50,31,52,84,152,113,35,38,49
"Burleigh County, North Dakota",,"35,767","1,728","1,358","1,235","1,646","1,646","1,710","1,459","1,964","1,356","2,567","4,156","5,615","3,830","2,181","1,716","1,600"
"Cass County, North Dakota",,"67,013","4,277","2,986","3,044","3,622","3,693","4,245","3,359","3,492","2,908","5,276","7,682","8,358","5,082","3,136","2,886","2,967"
"Cavalier County, North Dakota",,"1,759",83,65,80,78,110,71,84,81,68,142,163,276,145,148,94,71
"Dickey County, North Dakota",,"2,211",163,104,107,141,177,96,79,101,120,218,264,269,175,64,56,77
"Divide County, North Dakota",,"1,065",61,45,73,56,30,66,53,40,43,71,110,132,104,53,62,66
"Dunn County, North Dakota",,"1,473",75,89,52,68,42,86,42,61,35,123,116,193,152,117,81,141
"Eddy County, North Dakota",,"1,074",83,73,73,31,55,60,61,60,66,90,145,131,74,26,27,19
"Emmons County, North Dakota",,"1,618",146,117,110,173,96,86,75,121,75,124,105,171,76,41,48,54
"Foster County, North Dakota",,"1,576",145,91,51,45,100,36,88,90,80,109,187,236,105,105,69,39
"Golden Valley County, North Dakota",,766,53,47,90,31,34,84,58,11,17,34,65,91,66,22,41,22
"Grand Forks County, North Dakota",,"28,045","2,735","1,940","1,247","1,695","1,367","1,706","1,398","1,340","1,196","2,249","2,698","3,471","2,019",972,931,"1,081"
"Grant County, North Dakota",,"1,137",128,72,70,54,62,57,58,85,39,92,78,122,108,27,23,62
"Griggs County, North Dakota",,"1,068",58,53,34,80,61,79,73,55,30,101,110,154,88,21,34,37
"Hettinger County, North Dakota",,"1,088",45,62,31,59,84,54,53,53,87,107,117,154,79,28,29,46
"Kidder County, North Dakota",,"1,097",56,53,84,41,66,56,54,38,49,92,127,166,94,38,20,63
"LaMoure County, North Dakota",,"1,898",140,105,109,80,89,85,86,78,72,225,228,218,164,68,72,79
"Logan County, North Dakota",,866,71,39,44,54,53,47,47,49,30,83,88,89,56,49,41,26
"McHenry County, North Dakota",,"2,576",198,128,124,146,140,138,166,162,60,190,327,342,183,79,95,98
"McIntosh County, North Dakota",,"1,336",125,103,84,118,72,110,83,43,78,90,99,148,87,36,28,32
"McKenzie County, North Dakota",,"2,755",164,99,73,136,133,101,60,149,70,158,340,357,248,243,164,260
"McLean County, North Dakota",,"4,078",268,206,210,230,164,278,206,161,173,373,421,619,300,220,134,115
"Mercer County, North Dakota",,"3,666",240,170,213,130,100,125,259,109,98,233,384,744,411,210,117,123
"Morton County, North Dakota",,"11,820",609,518,383,596,506,601,578,578,599,"1,050","1,275","1,999","1,273",536,327,392
"Mountrail County, North Dakota",,"3,108",247,130,100,153,76,123,82,172,52,245,360,437,394,147,189,201
"Nelson County, North Dakota",,"1,499",110,99,100,61,64,91,104,70,40,145,195,185,102,55,31,47
"Oliver County, North Dakota",,783,53,29,43,37,32,26,30,42,6,88,78,146,74,42,43,14
"Pembina County, North Dakota",,"3,299",143,146,206,209,159,198,166,179,188,298,379,477,307,82,75,87
"Pierce County, North Dakota",,"1,943",169,165,99,124,134,111,94,104,80,127,257,271,66,58,47,37
"Ramsey County, North Dakota",,"5,003",402,309,320,253,217,395,283,246,157,374,466,750,477,128,72,154
"Ransom County, North Dakota",,"2,307",166,126,70,121,122,147,105,80,150,177,312,319,173,106,64,69
"Renville County, North Dakota",,"1,079",49,63,42,44,50,27,34,47,41,102,122,174,122,75,54,33
"Richland County, North Dakota",,"6,616",450,349,304,277,341,287,284,312,294,597,749,999,589,357,252,175
"Rolette County, North Dakota",,"4,728",968,447,363,225,213,235,213,230,156,351,369,397,297,107,85,72
"Sargent County, North Dakota",,"1,712",97,77,73,74,72,77,66,101,84,171,234,230,160,69,75,52
"Sheridan County, North Dakota",,620,47,42,18,19,38,29,30,33,51,68,67,62,32,24,35,25
"Sioux County, North Dakota",,"1,098",149,94,61,61,75,56,51,60,53,71,103,126,70,23,23,22
"Slope County, North Dakota",,318,15,27,16,31,9,16,4,2,5,23,49,49,24,16,20,12
"Stark County, North Dakota",,"10,887",588,481,344,456,621,435,441,326,312,789,"1,252","1,606","1,365",592,806,473
"Steele County, North Dakota",,936,64,25,33,40,66,43,39,36,60,127,101,115,104,32,21,30
"Stutsman County, North Dakota",,"9,050",674,442,374,518,570,365,533,496,466,822,"1,062","1,180",605,408,241,294
"Towner County, North Dakota",,"1,018",48,73,55,81,31,41,30,46,22,99,132,122,88,41,65,44
"Traill County, North Dakota",,"3,334",178,175,211,164,163,181,221,170,135,207,416,464,281,168,102,98
"Walsh County, North Dakota",,"4,922",339,212,393,213,281,262,250,242,282,436,613,652,359,172,102,114
"Ward County, North Dakota",,"25,495","1,152","1,191",755,"1,235","1,544","1,607","1,291","1,253",992,"1,900","2,779","4,521","2,344","1,076",978,877
"Wells County, North Dakota",,"1,970",166,135,93,133,116,96,121,133,98,146,187,259,122,42,65,58
"Williams County, North Dakota",,"11,113",295,402,511,352,403,332,223,348,244,795,"1,094","1,615","1,551",952,"1,027",969
"Adams County, Ohio",,"10,734","1,465",957,"1,013",799,686,474,618,562,463,803,909,"1,057",513,184,180,51
"Allen County, Ohio",,"40,191","3,679","2,728","2,664","2,651","2,326","2,280","2,283","2,066","1,728","3,279","4,747","4,284","2,548","1,092","1,051",785
"Ashland County, Ohio",,"20,339","1,224","1,117","1,193","1,449","1,203","1,254","1,249","1,094","1,090","2,034","2,319","2,614","1,328",542,331,298
"Ashtabula County, Ohio",,"38,933","3,610","3,232","2,871","2,686","2,350","2,627","1,952","2,068","1,792","3,350","4,142","4,103","1,945","1,303",594,308
"Athens County, Ohio",,"22,208","4,122","1,955","1,621","1,275","1,147","1,350","1,036","1,088",870,"1,759","1,716","1,942",978,673,401,275
"Auglaize County, Ohio",,"18,115",754,722,"1,053",918,"1,098","1,060","1,118",987,925,"1,464","2,213","2,803","1,428",799,517,256
"Belmont County, Ohio",,"28,007","2,154","1,803","2,096","2,021","1,791","1,882","1,340","1,503","1,437","2,277","2,629","3,319","2,026",702,521,506
"Brown County, Ohio",,"16,587","1,359",901,"1,073",928,996,960,"1,081","1,017",766,"1,661","2,018","1,659","1,250",338,240,340
"Butler County, Ohio",,"134,934","8,634","5,924","6,299","6,403","6,979","6,156","6,740","6,287","5,875","10,975","14,626","17,325","11,790","7,446","8,278","5,197"
"Carroll County, Ohio",,"10,922",702,577,723,555,694,764,689,657,540,"1,139","1,129","1,309",655,278,296,215
"Champaign County, Ohio",,"15,163",725,685,871,"1,030",970,674,945,926,779,"1,378","1,728","2,095","1,205",466,441,245
"Clark County, Ohio",,"54,969","5,070","3,394","3,633","3,927","3,393","2,997","3,301","2,977","2,566","4,642","5,127","6,554","3,336","1,663","1,541",848
"Clermont County, Ohio",,"74,187","3,677","2,953","3,653","3,989","3,491","3,898","3,414","2,982","2,856","5,823","8,660","10,240","7,138","3,700","4,689","3,024"
"Clinton County, Ohio",,"16,052","1,511","1,134",772,917,838,"1,039",883,748,866,"1,535","1,872","1,885",707,628,429,288
"Columbiana County, Ohio",,"42,184","3,364","2,446","3,140","2,799","2,653","2,428","2,470","2,332","1,966","3,616","5,016","4,910","2,388","1,251",715,690
"Coshocton County, Ohio",,"14,561","1,219",846,"1,175",994,920,"1,038",776,799,841,"1,387","1,351","1,657",732,394,302,130
"Crawford County, Ohio",,"17,625","1,253","1,237","1,283","1,217","1,424","1,006","1,003","1,189",817,"1,578","1,907","1,920","1,066",318,269,138
"Cuyahoga County, Ohio",,"534,721","58,103","35,347","34,603","32,753","30,245","28,987","26,186","24,954","22,094","39,818","49,404","56,239","35,158","21,323","19,176","20,331"
"Darke County, Ohio",,"20,929","1,350","1,150","1,357","1,717","1,314","1,397","1,384","1,200","1,018","2,117","2,192","2,176","1,301",631,343,282
"Defiance County, Ohio",,"15,332",921,704,916,856,982,931,919,723,943,"1,614","1,772","1,974",927,598,285,267
