,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Marion County, Florida",,"331,298","278,033","41,743","1,536","4,636",223,"5,127"
"Martin County, Florida",,"146,318","133,210","8,067","1,484","1,630",213,"1,714"
"Miami-Dade County, Florida",,"2,496,435","1,936,470","485,006","6,467","39,574","1,219","27,699"
"Monroe County, Florida",,"73,090","66,553","4,271",310,816,75,"1,065"
"Nassau County, Florida",,"73,314","66,548","4,734",336,667,56,973
"Okaloosa County, Florida",,"180,822","150,071","17,165","1,158","5,513",415,"6,500"
"Okeechobee County, Florida",,"39,996","35,377","3,281",476,378,41,443
"Orange County, Florida",,"1,145,956","803,406","248,872","6,150","59,552","2,186","25,790"
"Osceola County, Florida",,"268,685","217,729","33,789","1,998","8,059",640,"6,470"
"Palm Beach County, Florida",,"1,320,134","1,024,823","233,921","8,544","32,388","1,295","19,163"
"Pasco County, Florida",,"464,697","422,416","21,652","1,937","10,139",404,"8,149"
