,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Avoyelles Parish, Louisiana",,"42,073","28,321","12,452",516,143,3,638
"Beauregard Parish, Louisiana",,"35,654","29,526","4,691",380,232,20,805
"Bienville Parish, Louisiana",,"14,353","8,009","6,087",51,34,0,172
"Bossier Parish, Louisiana",,"116,979","87,114","24,665",763,"2,030",189,"2,218"
"Caddo Parish, Louisiana",,"254,969","126,895","120,722","1,188","2,750",152,"3,262"
"Calcasieu Parish, Louisiana",,"192,768","138,069","48,454",980,"2,130",106,"3,029"
"Caldwell Parish, Louisiana",,"10,132","8,247","1,753",22,26,0,84
"Cameron Parish, Louisiana",,"6,839","6,631",119,36,6,0,47
"Catahoula Parish, Louisiana",,"10,407","7,022","3,285",34,3,0,63
"Claiborne Parish, Louisiana",,"17,195","8,202","8,741",63,41,1,147
"Concordia Parish, Louisiana",,"20,822","12,023","8,527",65,50,4,153
"De Soto Parish, Louisiana",,"26,656","15,601","10,483",232,42,11,287
"East Baton Rouge Parish, Louisiana",,"440,171","220,884","200,390","1,335","12,561",183,"4,818"
"East Carroll Parish, Louisiana",,"7,759","2,270","5,361",20,44,0,64
"East Feliciana Parish, Louisiana",,"20,267","10,818","9,111",65,52,3,218
"Evangeline Parish, Louisiana",,"33,984","23,748","9,711",103,118,4,300
"Franklin Parish, Louisiana",,"20,767","13,973","6,558",39,42,6,149
"Grant Parish, Louisiana",,"22,309","18,204","3,472",233,62,9,329
"Iberia Parish, Louisiana",,"73,240","46,514","23,680",283,"1,794",25,944
"Iberville Parish, Louisiana",,"33,387","16,456","16,514",62,108,4,243
"Jackson Parish, Louisiana",,"16,274","11,168","4,858",39,28,2,179
"Jefferson Parish, Louisiana",,"432,552","290,665","115,821","2,586","17,091",334,"6,055"
"Jefferson Davis Parish, Louisiana",,"31,594","25,344","5,494",166,64,4,522
"Lafayette Parish, Louisiana",,"221,578","156,839","57,561",820,"3,388",108,"2,862"
"Lafourche Parish, Louisiana",,"96,318","78,302","12,827","2,817",732,53,"1,587"
"LaSalle Parish, Louisiana",,"14,890","12,803","1,787",156,30,4,110
"Lincoln Parish, Louisiana",,"46,735","26,290","19,008",134,801,44,458
"Livingston Parish, Louisiana",,"128,026","118,948","6,565",545,660,29,"1,279"
"Madison Parish, Louisiana",,"12,093","4,544","7,394",26,27,0,102
"Morehouse Parish, Louisiana",,"27,979","14,412","13,165",39,105,14,244
"Natchitoches Parish, Louisiana",,"39,566","21,772","16,507",396,146,11,734
"Orleans Parish, Louisiana",,"343,829","118,517","209,082","1,246","10,115",221,"4,648"
"Ouachita Parish, Louisiana",,"153,720","93,816","56,370",431,"1,485",70,"1,548"
"Plaquemines Parish, Louisiana",,"23,042","16,568","4,767",404,738,41,524
"Pointe Coupee Parish, Louisiana",,"22,802","14,192","8,317",31,59,0,203
"Rapides Parish, Louisiana",,"131,613","84,612","42,239","1,115","1,611",46,"1,990"
"Red River Parish, Louisiana",,"9,091","5,393","3,600",33,12,2,51
"Richland Parish, Louisiana",,"20,725","12,983","7,462",65,55,5,155
"Sabine Parish, Louisiana",,"24,233","17,239","4,030","2,103",57,7,797
"St. Bernard Parish, Louisiana",,"35,897","27,586","6,436",292,718,30,835
"St. Charles Parish, Louisiana",,"52,780","37,286","14,152",185,457,22,678
"St. Helena Parish, Louisiana",,"11,203","5,058","6,004",38,9,5,89
"St. James Parish, Louisiana",,"22,102","10,690","11,196",45,51,3,117
"St. John the Baptist Parish, Louisiana",,"45,924","20,187","24,706",167,329,33,502
"St. Landry Parish, Louisiana",,"83,384","47,199","34,718",288,330,10,839
"St. Martin Parish, Louisiana",,"52,160","34,867","16,116",227,401,4,545
"St. Mary Parish, Louisiana",,"54,650","33,779","17,905","1,038",985,36,907
"St. Tammany Parish, Louisiana",,"233,740","198,646","27,117","1,273","3,059",110,"3,535"
"Tangipahoa Parish, Louisiana",,"121,097","81,636","36,780",416,776,67,"1,422"
"Tensas Parish, Louisiana",,"5,252","2,232","2,969",6,9,0,36
"Terrebonne Parish, Louisiana",,"111,860","80,701","21,247","6,471","1,186",92,"2,163"
"Union Parish, Louisiana",,"22,721","16,213","6,216",88,38,17,149
"Vermilion Parish, Louisiana",,"57,999","47,594","8,333",220,"1,171",8,673
"Vernon Parish, Louisiana",,"52,334","40,836","7,631",789,976,289,"1,813"
"Washington Parish, Louisiana",,"47,168","31,786","14,654",149,111,5,463
"Webster Parish, Louisiana",,"41,207","26,619","13,866",154,127,8,433
"West Baton Rouge Parish, Louisiana",,"23,788","14,404","9,012",30,85,13,244
"West Carroll Parish, Louisiana",,"11,604","9,581","1,830",61,27,2,103
"West Feliciana Parish, Louisiana",,"15,625","8,214","7,271",22,31,3,84
"Winn Parish, Louisiana",,"15,313","10,302","4,714",101,39,3,154
"Androscoggin County, Maine",,"107,702","100,450","3,999",438,791,40,"1,984"
"Aroostook County, Maine",,"71,870","68,924",472,"1,233",314,12,915
"Cumberland County, Maine",,"281,674","262,972","7,094",968,"5,866",93,"4,681"
"Franklin County, Maine",,"30,768","30,039",74,116,135,10,394
"Hancock County, Maine",,"54,418","52,914",229,227,457,7,584
"Kennebec County, Maine",,"122,151","117,953",721,603,917,51,"1,906"
"Knox County, Maine",,"39,736","38,675",199,144,187,5,526
"Lincoln County, Maine",,"34,457","33,687",109,118,187,1,355
"Oxford County, Maine",,"57,833","56,182",219,220,365,15,832
"Penobscot County, Maine",,"153,923","147,188","1,200","1,831","1,441",48,"2,215"
"Piscataquis County, Maine",,"17,535","17,046",58,93,132,7,199
"Sagadahoc County, Maine",,"35,293","34,079",268,128,269,7,542
"Somerset County, Maine",,"52,228","50,813",200,242,295,13,665
"Waldo County, Maine",,"38,786","37,783",143,177,155,16,512
"Washington County, Maine",,"32,856","30,407",145,"1,614",159,9,522
"York County, Maine",,"197,131","190,652","1,139",619,"2,113",43,"2,565"
"Allegany County, Maryland",,"75,087","67,173","6,061",112,579,35,"1,127"
"Anne Arundel County, Maryland",,"537,656","417,210","85,068","2,108","18,701",606,"13,963"
"Baltimore County, Maryland",,"805,029","531,245","212,415","3,202","41,011",506,"16,650"
"Calvert County, Maryland",,"88,737","72,777","12,033",350,"1,287",54,"2,236"
"Caroline County, Maryland",,"33,066","27,256","4,631",250,202,108,619
"Carroll County, Maryland",,"167,134","156,493","5,446",355,"2,468",61,"2,311"
"Cecil County, Maryland",,"101,108","91,179","6,405",366,"1,120",61,"1,977"
"Charles County, Maryland",,"146,551","75,274","60,619","1,036","4,466",131,"5,025"
"Dorchester County, Maryland",,"32,618","22,458","9,132",130,304,9,585
"Frederick County, Maryland",,"233,385","196,704","20,729","1,053","9,219",158,"5,522"
"Garrett County, Maryland",,"30,097","29,491",305,44,76,1,180
"Harford County, Maryland",,"244,826","200,906","31,553",686,"5,950",242,"5,489"
"Howard County, Maryland",,"287,085","183,310","51,160","1,234","41,871",153,"9,357"
"Kent County, Maryland",,"20,197","16,540","3,099",46,180,8,324
"Montgomery County, Maryland",,"971,777","622,660","174,500","6,554","138,484",949,"28,630"
"Prince George's County, Maryland",,"863,420","225,493","569,689","8,944","36,742","1,495","21,057"
"Queen Anne's County, Maryland",,"47,798","43,046","3,331",187,492,19,723
"St. Mary's County, Maryland",,"105,151","83,676","15,192",465,"2,658",92,"3,068"
"Somerset County, Maryland",,"26,470","14,473","11,283",86,187,10,431
"Talbot County, Maryland",,"37,782","31,700","4,937",91,495,33,526
"Washington County, Maryland",,"147,430","127,016","14,414",400,"2,109",78,"3,413"
"Wicomico County, Maryland",,"98,733","69,428","24,173",285,"2,555",111,"2,181"
"Worcester County, Maryland",,"51,454","42,849","7,064",156,577,17,791
"Baltimore city, Maryland",,"620,961","193,022","398,274","2,745","14,922",454,"11,544"
"Barnstable County, Massachusetts",,"215,888","203,877","4,628","1,501","2,392",122,"3,368"
"Berkshire County, Massachusetts",,"131,219","122,872","3,781",318,"1,652",42,"2,554"
"Bristol County, Massachusetts",,"548,285","501,818","22,728","3,354","10,626",494,"9,265"
"Dukes County, Massachusetts",,"16,535","15,149",544,201,134,10,497
"Essex County, Massachusetts",,"743,159","656,752","40,755","5,946","24,325","1,042","14,339"
"Franklin County, Massachusetts",,"71,372","67,908",881,246,926,33,"1,378"
"Hampden County, Massachusetts",,"463,490","391,037","48,425","3,381","9,637",722,"10,288"
"Hampshire County, Massachusetts",,"158,080","142,491","4,304",424,"7,327",81,"3,453"
"Middlesex County, Massachusetts",,"1,503,085","1,251,008","76,335","3,642","143,449",983,"27,668"
"Nantucket County, Massachusetts",,"10,172","9,193",699,7,127,2,144
"Norfolk County, Massachusetts",,"670,850","559,784","40,577","1,296","58,665",275,"10,253"
"Plymouth County, Massachusetts",,"494,919","434,153","44,483","1,556","6,443",563,"7,721"
"Suffolk County, Massachusetts",,"722,023","457,720","178,647","5,408","61,303","1,120","17,825"
"Worcester County, Massachusetts",,"798,552","711,175","37,578","2,664","32,667",482,"13,986"
"Alcona County, Michigan",,"10,942","10,748",13,67,25,1,88
"Alger County, Michigan",,"9,601","8,305",612,397,34,0,253
"Allegan County, Michigan",,"111,408","106,785","1,441",722,701,30,"1,729"
"Alpena County, Michigan",,"29,598","28,908",80,158,158,13,281
"Antrim County, Michigan",,"23,580","22,911",48,244,49,9,319
"Arenac County, Michigan",,"15,899","15,452",30,191,29,10,187
"Baraga County, Michigan",,"8,860","6,662",636,"1,162",13,0,387
"Barry County, Michigan",,"59,173","57,717",227,288,221,7,713
"Bay County, Michigan",,"107,771","102,784","1,756",612,598,14,"2,007"
"Benzie County, Michigan",,"17,525","16,945",74,255,46,0,205
"Berrien County, Michigan",,"156,813","125,591","24,294",925,"2,526",126,"3,351"
"Branch County, Michigan",,"45,248","42,810","1,399",216,211,3,609
"Calhoun County, Michigan",,"136,146","113,894","15,088",974,"2,227",70,"3,893"
"Cass County, Michigan",,"52,293","47,126","2,878",524,349,10,"1,406"
"Charlevoix County, Michigan",,"25,949","24,912",80,390,103,11,453
"Cheboygan County, Michigan",,"26,152","24,502",134,783,75,9,649
"Chippewa County, Michigan",,"38,520","27,915","2,514","6,081",238,24,"1,748"
"Clare County, Michigan",,"30,926","30,058",152,209,92,8,407
"Clinton County, Michigan",,"75,382","71,008","1,602",350,"1,140",22,"1,260"
"Crawford County, Michigan",,"14,074","13,747",51,77,52,1,146
"Delta County, Michigan",,"37,069","35,192",78,876,147,7,769
"Dickinson County, Michigan",,"26,168","25,514",88,152,120,7,287
"Eaton County, Michigan",,"107,759","96,053","6,978",517,"1,862",26,"2,323"
"Emmet County, Michigan",,"32,694","30,448",161,"1,217",177,8,683
"Genesee County, Michigan",,"425,790","320,603","88,665","2,423","3,990",88,"10,021"
"Gladwin County, Michigan",,"25,692","25,208",60,128,76,3,217
"Gogebic County, Michigan",,"16,427","15,090",678,400,37,1,221
"Grand Traverse County, Michigan",,"86,986","82,853","1,048","1,046",620,39,"1,380"
"Gratiot County, Michigan",,"42,476","39,308","2,372",217,155,12,412
"Hillsdale County, Michigan",,"46,688","45,567",221,182,197,5,516
"Houghton County, Michigan",,"36,628","34,677",201,210,"1,070",17,453
"Huron County, Michigan",,"33,118","32,468",122,111,156,4,257
"Ingham County, Michigan",,"280,895","220,237","34,036","1,843","14,863",149,"9,767"
"Ionia County, Michigan",,"63,905","59,463","3,036",356,256,13,781
"Iosco County, Michigan",,"25,887","25,072",123,180,128,17,367
"Iron County, Michigan",,"11,817","11,502",14,120,32,2,147
"Isabella County, Michigan",,"70,311","63,153","1,696","2,500","1,170",19,"1,773"
"Jackson County, Michigan",,"160,248","141,785","12,910",652,"1,164",52,"3,685"
"Kalamazoo County, Michigan",,"250,331","208,096","27,855","1,255","5,401",113,"7,611"
"Kalkaska County, Michigan",,"17,153","16,644",50,151,43,2,263
"Kent County, Michigan",,"602,622","506,183","61,606","4,452","14,441",476,"15,464"
"Keweenaw County, Michigan",,"2,156","2,126",3,3,1,0,23
"Lake County, Michigan",,"11,539","10,080","1,062",93,19,1,284
"Lapeer County, Michigan",,"88,319","85,570",954,429,326,12,"1,028"
"Leelanau County, Michigan",,"21,708","20,380",67,825,98,4,334
"Lenawee County, Michigan",,"99,892","94,399","2,668",529,541,32,"1,723"
"Livingston County, Michigan",,"180,967","175,792",834,735,"1,454",83,"2,069"
"Luce County, Michigan",,"6,631","5,339",737,334,17,3,201
"Mackinac County, Michigan",,"11,113","8,516",61,"1,930",22,4,580
"Macomb County, Michigan",,"840,978","723,014","73,230","2,807","25,475",215,"16,237"
"Manistee County, Michigan",,"24,733","22,965",723,525,70,14,436
"Marquette County, Michigan",,"67,077","63,091","1,155","1,169",387,13,"1,262"
"Mason County, Michigan",,"28,705","27,618",187,312,133,0,455
"Mecosta County, Michigan",,"42,798","40,273","1,085",283,283,17,857
"Menominee County, Michigan",,"24,029","22,953",73,656,70,8,269
"Midland County, Michigan",,"83,629","79,477","1,028",375,"1,594",51,"1,104"
"Missaukee County, Michigan",,"14,849","14,498",45,99,47,1,159
"Monroe County, Michigan",,"152,021","144,862","3,328",532,863,30,"2,406"
"Montcalm County, Michigan",,"63,342","60,428","1,492",329,232,26,835
"Montmorency County, Michigan",,"9,765","9,559",16,43,15,1,131
"Muskegon County, Michigan",,"172,188","140,126","25,099","1,541",988,56,"4,378"
"Newaygo County, Michigan",,"48,460","46,622",528,403,197,11,699
"Oakland County, Michigan",,"1,202,362","940,494","165,643","3,733","68,808",325,"23,359"
"Oceana County, Michigan",,"26,570","25,614",144,359,83,9,361
"Ogemaw County, Michigan",,"21,699","21,144",40,158,77,7,273
"Ontonagon County, Michigan",,"6,780","6,603",6,76,12,1,82
"Osceola County, Michigan",,"23,528","22,836",137,130,49,6,370
"Oscoda County, Michigan",,"8,640","8,456",14,50,8,4,108
"Otsego County, Michigan",,"24,164","23,463",82,167,95,11,346
"Ottawa County, Michigan",,"263,801","246,793","4,241","1,517","7,020",108,"4,122"
"Presque Isle County, Michigan",,"13,376","13,066",56,90,47,2,115
"Roscommon County, Michigan",,"24,449","23,844",91,154,74,3,283
"Saginaw County, Michigan",,"200,169","154,174","38,937","1,031","2,174",99,"3,754"
"St. Clair County, Michigan",,"163,040","154,387","4,031",791,815,40,"2,976"
"St. Joseph County, Michigan",,"61,295","57,721","1,652",341,433,7,"1,141"
"Sanilac County, Michigan",,"43,114","42,172",161,220,148,7,406
"Schoolcraft County, Michigan",,"8,485","7,447",11,745,13,0,269
"Shiawassee County, Michigan",,"70,648","68,790",335,362,260,39,862
"Tuscola County, Michigan",,"55,729","54,000",644,290,163,21,611
"Van Buren County, Michigan",,"76,258","70,054","3,213",923,342,24,"1,702"
"Washtenaw County, Michigan",,"344,791","260,907","44,359","1,289","27,459",142,"10,635"
"Wayne County, Michigan",,"1,820,584","984,224","742,658","8,193","46,963",559,"37,987"
"Wexford County, Michigan",,"32,735","31,724",130,212,195,18,456
"Aitkin County, Minnesota",,"16,202","15,517",60,392,27,4,202
"Anoka County, Minnesota",,"330,844","292,551","14,802","2,512","13,122",129,"7,728"
"Becker County, Minnesota",,"32,504","28,804",144,"2,474",127,9,946
"Beltrami County, Minnesota",,"44,442","33,437",271,"9,057",311,18,"1,348"
"Benton County, Minnesota",,"38,451","36,530",758,159,429,4,571
"Big Stone County, Minnesota",,"5,269","5,190",11,26,5,0,37
"Blue Earth County, Minnesota",,"64,013","59,855","1,791",192,"1,270",23,882
"Brown County, Minnesota",,"25,893","25,485",66,34,155,6,147
"Carlton County, Minnesota",,"35,386","31,806",499,"2,097",160,6,818
"Carver County, Minnesota",,"91,042","85,819","1,165",247,"2,528",25,"1,258"
"Cass County, Minnesota",,"28,567","24,593",62,"3,222",88,3,599
"Chippewa County, Minnesota",,"12,441","11,968",67,124,58,99,125
"Chisago County, Minnesota",,"53,887","51,781",653,336,486,11,620
"Clay County, Minnesota",,"58,999","55,282",870,821,871,29,"1,126"
"Clearwater County, Minnesota",,"8,695","7,618",31,787,22,1,236
"Cook County, Minnesota",,"5,176","4,570",23,450,27,3,103
"Cottonwood County, Minnesota",,"11,687","11,088",87,29,325,19,139
"Crow Wing County, Minnesota",,"62,500","60,522",323,536,242,17,860
"Dakota County, Minnesota",,"398,552","349,371","19,301","2,032","17,857",257,"9,734"
"Dodge County, Minnesota",,"20,087","19,633",80,57,90,4,223
"Douglas County, Minnesota",,"36,009","35,264",158,120,167,5,295
"Faribault County, Minnesota",,"14,553","14,288",52,69,43,0,101
"Fillmore County, Minnesota",,"20,866","20,558",54,29,74,1,150
"Freeborn County, Minnesota",,"31,255","30,315",261,88,243,38,310
"Goodhue County, Minnesota",,"46,183","44,218",459,571,280,33,622
"Grant County, Minnesota",,"6,018","5,910",20,9,14,6,59
"Hennepin County, Minnesota",,"1,152,425","891,799","139,229","13,898","73,213",812,"33,474"
"Houston County, Minnesota",,"19,027","18,592",102,34,92,2,205
"Hubbard County, Minnesota",,"20,428","19,380",53,566,51,13,365
"Isanti County, Minnesota",,"37,816","36,456",258,176,312,23,591
"Itasca County, Minnesota",,"45,058","42,292",145,"1,579",145,14,883
"Jackson County, Minnesota",,"10,266","9,942",47,30,142,2,103
"Kanabec County, Minnesota",,"16,239","15,803",57,90,53,3,233
"Kandiyohi County, Minnesota",,"42,239","40,471","1,001",149,186,28,404
"Kittson County, Minnesota",,"4,552","4,499",11,4,18,0,20
"Koochiching County, Minnesota",,"13,311","12,637",80,321,44,3,226
"Lac qui Parle County, Minnesota",,"7,259","7,134",17,18,32,7,51
"Lake County, Minnesota",,"10,866","10,636",16,51,31,0,132
"Lake of the Woods County, Minnesota",,"4,045","3,894",14,28,33,0,76
"Le Sueur County, Minnesota",,"27,703","27,105",99,86,172,5,236
"Lincoln County, Minnesota",,"5,896","5,826",8,11,16,3,32
"Lyon County, Minnesota",,"25,857","24,056",597,155,697,8,344
"McLeod County, Minnesota",,"36,651","35,737",209,102,279,18,306
"Mahnomen County, Minnesota",,"5,413","2,715",13,"2,217",3,1,464
"Marshall County, Minnesota",,"9,439","9,259",26,60,24,4,66
"Martin County, Minnesota",,"20,840","20,450",78,65,115,7,125
"Meeker County, Minnesota",,"23,300","22,946",94,49,61,17,133
"Mille Lacs County, Minnesota",,"26,097","23,867",99,"1,591",83,7,450
"Morrison County, Minnesota",,"33,198","32,539",132,75,101,11,340
"Mower County, Minnesota",,"39,163","36,930",874,137,678,52,492
"Murray County, Minnesota",,"8,725","8,534",27,14,78,2,70
"Nicollet County, Minnesota",,"32,727","31,101",670,123,436,2,395
"Nobles County, Minnesota",,"21,378","18,897",769,203,"1,207",31,271
"Norman County, Minnesota",,"6,852","6,552",13,111,31,0,145
"Olmsted County, Minnesota",,"144,248","125,944","7,133",436,"7,951",87,"2,697"
"Otter Tail County, Minnesota",,"57,303","55,627",444,300,285,39,608
"Pennington County, Minnesota",,"13,930","13,181",198,231,87,1,232
"Pine County, Minnesota",,"29,750","27,520",621,938,137,8,526
"Pipestone County, Minnesota",,"9,596","9,160",80,117,71,0,168
"Polk County, Minnesota",,"31,600","30,046",279,477,224,7,567
"Pope County, Minnesota",,"10,995","10,801",38,24,42,2,88
"Ramsey County, Minnesota",,"508,640","370,074","57,465","4,960","59,888",376,"15,877"
"Red Lake County, Minnesota",,"4,089","3,958",9,60,4,4,54
"Redwood County, Minnesota",,"16,059","14,347",91,810,518,2,291
"Renville County, Minnesota",,"15,730","15,357",44,115,54,6,154
"Rice County, Minnesota",,"64,142","59,384","2,102",375,"1,336",50,895
"Rock County, Minnesota",,"9,687","9,419",60,37,54,1,116
"Roseau County, Minnesota",,"15,629","14,794",39,201,397,3,195
"St. Louis County, Minnesota",,"200,226","186,744","2,768","4,520","1,799",66,"4,329"
"Scott County, Minnesota",,"129,928","115,035","3,507","1,232","7,535",120,"2,499"
"Sherburne County, Minnesota",,"88,499","83,767","1,713",454,"1,143",20,"1,402"
"Sibley County, Minnesota",,"15,226","14,869",59,37,85,6,170
"Stearns County, Minnesota",,"150,642","140,150","4,741",558,"3,025",98,"2,070"
"Steele County, Minnesota",,"36,576","34,744","1,029",100,291,9,403
"Stevens County, Minnesota",,"9,726","9,240",81,97,147,5,156
